log_id,user_id,timestamp,device_id,device_change_flag,location_lat,location_lon,session_duration_seconds,platform_section
LOG_0000001,USR_00001,2025-07-01T13:00:00,DEV_USR_00001_0,False,18.545801,71.940073,265,home
LOG_0000002,USR_00001,2025-07-08T13:00:00,DEV_USR_00001_0,False,18.536419,71.935894,997,literacy
LOG_0000003,USR_00001,2025-07-15T12:00:00,DEV_USR_00001_0,False,18.56401,71.921439,606,profile
LOG_0000004,USR_00001,2025-07-22T10:00:00,DEV_USR_00001_0,False,18.529847,71.919133,360,credit_check
LOG_0000005,USR_00001,2025-07-29T14:00:00,DEV_USR_00001_0,False,18.546544,71.921081,125,home
LOG_0000006,USR_00001,2025-08-05T13:00:00,DEV_USR_00001_0,False,18.53774,71.925886,545,literacy
LOG_0000007,USR_00001,2025-08-12T11:00:00,DEV_USR_00001_2,True,18.555209,71.914527,178,literacy
LOG_0000008,USR_00001,2025-08-19T17:00:00,DEV_USR_00001_0,False,18.560416,71.944207,547,credit_check
LOG_0000009,USR_00001,2025-08-26T10:00:00,DEV_USR_00001_0,False,18.539603,71.930376,70,literacy
LOG_0000010,USR_00001,2025-09-02T19:00:00,DEV_USR_00001_0,False,18.544982,71.915625,38,credit_check
LOG_0000011,USR_00001,2025-09-09T15:00:00,DEV_USR_00001_0,False,18.557077,71.944474,276,profile
LOG_0000012,USR_00001,2025-09-16T20:00:00,DEV_USR_00001_0,False,18.537619,71.918323,152,credit_check
LOG_0000013,USR_00001,2025-09-23T10:00:00,DEV_USR_00001_0,False,18.548285,71.918958,32,literacy
LOG_0000014,USR_00001,2025-09-30T13:00:00,DEV_USR_00001_0,False,18.54463,71.921063,406,credit_check
LOG_0000015,USR_00001,2025-10-07T13:00:00,DEV_USR_00001_0,False,18.549683,71.912378,256,home
LOG_0000016,USR_00001,2025-10-14T12:00:00,DEV_USR_00001_0,False,18.554453,71.93283,51,profile
LOG_0000017,USR_00001,2025-10-21T14:00:00,DEV_USR_00001_0,False,18.550328,71.92322,30,home
LOG_0000018,USR_00001,2025-10-28T09:00:00,DEV_USR_00001_0,False,18.566416,71.925155,399,literacy
